Company,Full Time Employees,Industry,Sector(s),Ticker
NIBC Holding N.V.,722,Banks—Regional,Financial Services,NIBC.AS
NN Group N.V.,"14,230",Insurance—Diversified,Financial Services,NN.AS
Novisource N.V.,72,Information Technology Services,Technology,NOVI.AS
NSI N.V.,52,REIT—Office,Real Estate,NSI.AS
OCI N.V.,"3,147",Specialty Chemicals,Basic Materials,OCI.AS
Oranjewoud N.V.,"9,851",Engineering & Construction,Industrials,ORANW.AS
Ordina N.V.,"2,308",Information Technology Services,Technology,ORDI.AS
Pharming Group N.V.,212,Biotechnology,Healthcare,PHARM.AS
Nuveen New York Quality Municipal Income Fund,,Asset Management,Financial Services,
Koninklijke Philips N.V.,"80,718",Diagnostics & Research,Healthcare,PHIA.AS
"B.V. Delftsch Aardewerkfabriek ""De Porceleyne Fles Anno 1653""",72,Household & Personal Products,Consumer Defensive,PORF.AS
PostNL N.V.,"40,810",Integrated Freight & Logistics,Industrials,PNL.AS
Nuveen New York Quality Municipal Income Fund,,Asset Management,Financial Services,
Nuveen New York Quality Municipal Income Fund,,Asset Management,Financial Services,
Nuveen New York Quality Municipal Income Fund,,Asset Management,Financial Services,
Prosus N.V.,"20,000",Internet Content & Information,Communication Services,PRX.AS
Randstad N.V.,"33,030",Staffing & Employment Services,Industrials,RAND.AS
Reinet Investments S.C.A.,,Asset Management,Financial Services,REINA.AS
RELX PLC,"33,000",Publishing,Communication Services,REN.AS
Renewi plc,"6,550",Waste Management,Industrials,RWI.AS
Retail Estates N.V.,31,REIT—Retail,Real Estate,RET.BR
RoodMicrotec N.V.,97,Semiconductors,Technology,ROOD.AS
Royal Dutch Shell plc,"83,000",Oil & Gas Integrated,Energy,RDSA.AS
Royal Dutch Shell plc,"83,000",Oil & Gas Integrated,Energy,RDSB.AS
Compagnie de Saint-Gobain S.A.,"170,643",Building Products & Equipment,Industrials,SGO.PA
SBM Offshore N.V.,"4,306",Oil & Gas Equipment & Services,Energy,SBMO.AS
Sif Holding N.V.,319,Metal Fabrication,Industrials,SIFG.AS
Signify N.V.,"35,789",Electrical Equipment & Parts,Industrials,LIGHT.AS
Sligro Food Group N.V.,"4,100",Grocery Stores,Consumer Defensive,SLIGR.AS
SnowWorld N.V.,305,Leisure,Consumer Cyclical,SNOW.AS
Stern Groep N.V.,"1,490",Auto & Truck Dealerships,Consumer Cyclical,STRN.AS
"Thunderbird Resorts, Inc.",626,Resorts & Casinos,Consumer Cyclical,TBIRD.AS
TIE Kinetix N.V.,107,Information Technology Services,Technology,TIE.AS
TKH Group N.V.,"5,692",Communication Equipment,Technology,TWEKA.AS
TomTom N.V.,"4,500",Software—Application,Technology,TOM2.AS
Unibail-Rodamco-Westfield SE,"3,495",REIT—Retail,Real Estate,URW.AS
The Unilever Group,"149,867",Household & Personal Products,Consumer Defensive,UNA.AS
Van Lanschot Kempen N.V.,"1,594",Banks—Regional,Financial Services,VLK.AS
Value8 N.V.,,Asset Management,Financial Services,VALUE.AS
Value8 N.V.,,Asset Management,Financial Services,PREVA.AS
Vastned Retail N.V.,41,REIT—Retail,Real Estate,VASTN.AS
VEON Ltd.,"46,492",Telecom Services,Communication Services,VEON.AS
Vivoryon Therapeutics AG,17,Biotechnology,Healthcare,VVY.AS
Koninklijke Vopak N.V.,"5,574",Oil & Gas Equipment & Services,Energy,VPK.AS
Warehouses De Pauw NV,84,REIT—Industrial,Real Estate,WDP.BR
Wereldhave N.V.,140,REIT—Retail,Real Estate,WHA.AS
